study_id;web_id;web_group_id;filename;user_id;timestamp;x;y;duration
835026225;721940981;1426034248;s1_hawking1_0;675931501;98;854;396;489
835026225;721940981;1426034248;s1_hawking1_0;675931501;598;938;339;122
835026225;721940981;1426034248;s1_hawking1_0;675931501;798;346;37;311
835026225;721940981;1426034248;s1_hawking1_0;675931501;1164;946;335;423
835026225;721940981;1426034248;s1_hawking1_0;675931501;1597;848;198;789
835026225;721940981;1426034248;s1_hawking1_0;675931501;2396;976;179;378
835026225;721940981;1426034248;s1_hawking1_0;675931501;2785;1158;192;377
835026225;721940981;1426034248;s1_hawking1_0;675931501;3174;1270;193;477
835026225;721940981;1426034248;s1_hawking1_0;675931501;3685;909;205;466
835026225;721940981;1426034248;s1_hawking1_0;675931501;4162;1065;209;599
835026225;721940981;1426034248;s1_hawking1_0;675931501;4773;1211;201;766
835026225;721940981;1426034248;s1_hawking1_0;675931501;5583;604;128;800
835026225;721940981;1426034248;s1_hawking1_0;675931501;6405;619;152;88
835026225;721940981;1426034248;s1_hawking1_0;675931501;6549;1030;339;289
835026225;721940981;1426034248;s1_hawking1_0;675931501;6849;947;392;355
835026225;721940981;1426034248;s1_hawking1_0;675931501;7215;1094;416;800
835026225;721940981;1426034248;s1_hawking1_0;675931501;8049;1186;410;709
835026225;721940981;1426034248;s1_hawking1_0;675931501;8770;1249;402;100
835026225;721940981;1426034248;s1_hawking1_0;675931501;8881;1083;407;788
835026225;721940981;1426034248;s1_hawking1_0;675931501;9680;972;475;744
835026225;721940981;1426034248;s1_hawking1_0;675931501;10435;849;486;800
835026225;721940981;1426034248;s1_hawking1_0;675931501;11268;961;498;566
835026225;721940981;1426034248;s1_hawking1_0;675931501;11845;882;491;800
835026225;721940981;1426034248;s1_hawking1_0;675931501;12678;955;495;800
835026225;721940981;1426034248;s1_hawking1_0;396775005;98;811;401;292
835026225;721940981;1426034248;s1_hawking1_0;396775005;446;439;162;178
835026225;721940981;1426034248;s1_hawking1_0;396775005;690;974;221;200
835026225;721940981;1426034248;s1_hawking1_0;396775005;946;217;10;499
835026225;721940981;1426034248;s1_hawking1_0;396775005;1490;695;344;167
835026225;721940981;1426034248;s1_hawking1_0;396775005;1667;836;278;178
835026225;721940981;1426034248;s1_hawking1_0;396775005;1856;891;181;521
835026225;721940981;1426034248;s1_hawking1_0;396775005;2388;1020;155;334
835026225;721940981;1426034248;s1_hawking1_0;396775005;2732;1155;174;767
835026225;721940981;1426034248;s1_hawking1_0;396775005;3510;1063;224;345
835026225;721940981;1426034248;s1_hawking1_0;396775005;3865;899;239;800
835026225;721940981;1426034248;s1_hawking1_0;396775005;4698;988;241;399
835026225;721940981;1426034248;s1_hawking1_0;396775005;5110;1124;231;420
835026225;721940981;1426034248;s1_hawking1_0;396775005;5543;1230;226;420
835026225;721940981;1426034248;s1_hawking1_0;396775005;5975;1073;231;800
